Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure
Azerbaijan,Youth population from 15 to 24,Female,2011,914.878,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2012,890.003,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2013,860.044,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2014,827.412,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2015,793.51,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2016,759.678,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2017,727.923,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2018,700.064,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2019,677.444,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2020,661.525,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2021,653.767,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2022,654.554,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Female,2023,662.557,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2005,872.123,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2006,893.682,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2007,909.457,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2008,920.096,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2009,923.966,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2010,920.24,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2011,909.525,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2012,891.98,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2013,869.712,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2014,845.023,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2015,818.971,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2016,792.236,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2017,766.123,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2018,743.111,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2019,725.89,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2020,716.032,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2021,715.189,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2022,723.536,Thousands,Persons
Azerbaijan,Youth population from 15 to 24,Male,2023,739.107,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2005,70.435,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2006,75.219,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2007,78.769,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2008,81.015,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2009,81.903,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2010,80.115,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2011,77.096,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2012,75.609,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2013,76.147,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2014,78.626,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2015,81.059,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2016,82.238,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2017,82.424,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2018,81.725,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2019,80.582,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2020,76.9,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2021,73.564,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2022,74.668,Thousands,Persons
Bahrain,Youth population from 15 to 24,Female,2023,77.742,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2005,103.001,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2006,112.658,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2007,116.92,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2008,116.166,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2009,111.641,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2010,106.014,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2011,103.371,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2012,102.863,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2013,101.68,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2014,103.022,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2015,107.115,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2016,109.609,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2017,110.014,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2018,107.664,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2019,103.796,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2020,94.266,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2021,83.54,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2022,82.782,Thousands,Persons
Bahrain,Youth population from 15 to 24,Male,2023,86.969,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2005,14501.75,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2006,14563.622,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2007,14577.037,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2008,14568.167,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2009,14593.165,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2010,14682.74,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2011,14795.388,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2012,14941.667,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2013,15115.142,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2014,15281.492,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2015,15436.147,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2016,15611.891,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2017,15802.335,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2018,15971.978,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2019,16102.407,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2020,16206.379,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2021,16277.701,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2022,16278.415,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Female,2023,16217.256,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2005,14664.626,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2006,14733.1,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2007,14746.658,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2008,14725.061,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2009,14743.194,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2010,14863.62,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2011,15012.244,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2012,15191.111,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2013,15394.728,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2014,15587.189,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2015,15759.565,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2016,15956.44,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2017,16171.532,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2018,16351.267,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2019,16481.576,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2020,16598.177,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2021,16690.882,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2022,16698.206,Thousands,Persons
Bangladesh,Youth population from 15 to 24,Male,2023,16631.976,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2005,70.26,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2006,72.049,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2007,73.264,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2008,74.174,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2009,74.757,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2010,75.013,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2011,74.915,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2012,74.415,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2013,73.532,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2014,72.46,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2015,71.463,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2016,70.68,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2017,70.228,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2018,70.063,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2019,69.998,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2020,69.942,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2021,69.822,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2022,69.557,Thousands,Persons
Bhutan,Youth population from 15 to 24,Female,2023,69.097,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2005,81.142,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2006,81.997,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2007,82.595,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2008,83.373,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2009,84.159,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2010,84.871,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2011,85.448,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2012,85.736,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2013,85.585,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2014,84.993,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2015,84.011,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2016,82.712,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2017,81.017,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2018,79.133,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2019,77.442,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2020,75.977,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2021,74.703,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2022,73.578,Thousands,Persons
Bhutan,Youth population from 15 to 24,Male,2023,72.578,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2005,1476.839,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2006,1513.425,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2007,1544.611,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2008,1565.084,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2009,1571.945,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2010,1567.801,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2011,1554.116,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2012,1528.209,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2013,1501.473,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2014,1481.182,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2015,1459.515,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2016,1437.536,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2017,1417.831,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2018,1398.202,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2019,1379.991,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2020,1372.832,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2021,1381.632,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2022,1404.617,Thousands,Persons
Cambodia,Youth population from 15 to 24,Female,2023,1428.375,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2005,1515.79,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2006,1552.289,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2007,1582.687,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2008,1600.813,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2009,1600.554,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2010,1586.318,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2011,1563.195,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2012,1527.973,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2013,1493.176,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2014,1466.784,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2015,1440.296,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2016,1415.845,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2017,1395.839,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2018,1376.166,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2019,1357.947,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2020,1354.601,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2021,1373.742,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2022,1408.943,Thousands,Persons
Cambodia,Youth population from 15 to 24,Male,2023,1443.332,Thousands,Persons
China,Youth population from 15 to 24,Female,2005,110853.97,Thousands,Persons
China,Youth population from 15 to 24,Female,2006,112069.822,Thousands,Persons
China,Youth population from 15 to 24,Female,2007,111068.468,Thousands,Persons
China,Youth population from 15 to 24,Female,2008,109693.288,Thousands,Persons
China,Youth population from 15 to 24,Female,2009,108318.575,Thousands,Persons
China,Youth population from 15 to 24,Female,2010,106156.976,Thousands,Persons
China,Youth population from 15 to 24,Female,2011,103037.965,Thousands,Persons
China,Youth population from 15 to 24,Female,2012,98892.39,Thousands,Persons
China,Youth population from 15 to 24,Female,2013,94481.029,Thousands,Persons
China,Youth population from 15 to 24,Female,2014,90024.504,Thousands,Persons
China,Youth population from 15 to 24,Female,2015,85295.629,Thousands,Persons
China,Youth population from 15 to 24,Female,2016,81543.913,Thousands,Persons
China,Youth population from 15 to 24,Female,2017,79154.03,Thousands,Persons
China,Youth population from 15 to 24,Female,2018,77292.046,Thousands,Persons
China,Youth population from 15 to 24,Female,2019,75849.757,Thousands,Persons
China,Youth population from 15 to 24,Female,2020,74837.667,Thousands,Persons
China,Youth population from 15 to 24,Female,2021,74242.686,Thousands,Persons
China,Youth population from 15 to 24,Female,2022,74078.792,Thousands,Persons
China,Youth population from 15 to 24,Female,2023,74358.984,Thousands,Persons
China,Youth population from 15 to 24,Male,2005,119943.965,Thousands,Persons
China,Youth population from 15 to 24,Male,2006,121792.471,Thousands,Persons
China,Youth population from 15 to 24,Male,2007,121250.914,Thousands,Persons
China,Youth population from 15 to 24,Male,2008,120316.244,Thousands,Persons
China,Youth population from 15 to 24,Male,2009,119383.159,Thousands,Persons
China,Youth population from 15 to 24,Male,2010,117595.735,Thousands,Persons
China,Youth population from 15 to 24,Male,2011,114748.08,Thousands,Persons
China,Youth population from 15 to 24,Male,2012,110744.231,Thousands,Persons
China,Youth population from 15 to 24,Male,2013,106397.738,Thousands,Persons
China,Youth population from 15 to 24,Male,2014,101943.477,Thousands,Persons
China,Youth population from 15 to 24,Male,2015,97144.471,Thousands,Persons
China,Youth population from 15 to 24,Male,2016,93372.519,Thousands,Persons
China,Youth population from 15 to 24,Male,2017,91048.414,Thousands,Persons
China,Youth population from 15 to 24,Male,2018,89264.708,Thousands,Persons
China,Youth population from 15 to 24,Male,2019,87908.595,Thousands,Persons
China,Youth population from 15 to 24,Male,2020,86991.23,Thousands,Persons
China,Youth population from 15 to 24,Male,2021,86507.216,Thousands,Persons
China,Youth population from 15 to 24,Male,2022,86484.325,Thousands,Persons
China,Youth population from 15 to 24,Male,2023,86937.353,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2005,85.659,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2006,87.287,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2007,88.688,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2008,89.639,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2009,89.966,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2010,89.562,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2011,87.99,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2012,85.427,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2013,82.584,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2014,79.686,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2015,76.888,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2016,74.308,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2017,72.04,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2018,70.113,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2019,68.509,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2020,67.062,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2021,65.701,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2022,64.832,Thousands,Persons
Cyprus,Youth population from 15 to 24,Female,2023,64.51,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2005,95.009,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2006,97.858,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2007,100.641,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2008,102.901,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2009,104.251,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2010,104.403,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2011,102.228,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2012,98.038,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2013,93.368,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2014,88.584,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2015,83.991,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2016,79.863,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2017,76.404,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2018,73.653,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2019,71.525,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2020,69.793,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2021,68.308,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2022,67.382,Thousands,Persons
Cyprus,Youth population from 15 to 24,Male,2023,67.026,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2005,1807.884,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2006,1830.28,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2007,1853.722,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2008,1877.476,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2009,1898.434,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2010,1914.395,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2011,1925.541,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2012,1932.076,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2013,1934.127,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2014,1932.286,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2015,1923.654,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2016,1907.072,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2017,1884.168,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2018,1855.638,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2019,1825.484,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2020,1794.898,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2021,1762.743,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2022,1731.801,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Female,2023,1704.118,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Male,2005,1894.067,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Male,2006,1917.837,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Male,2007,1942.867,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Male,2008,1968.468,Thousands,Persons
Democratic People's Republic of Korea,Youth population from 15 to 24,Male,2009,1991.311,Thousands,Persons
